排名,號碼,週四姓名,週四電話,週四地址,週五姓名,週五電話,週五地址,週六姓名,週六電話,週六地址,週日姓名,週日電話,週日地址
13排,1,,,,,,,,,,,,
13排,2,,,,,,,,,,,,
13排,3,,,,,,,,,,,,
13排,4,,,,,,,,,,,,
13排,5,,,,,,,,,,,,
13排,6,,,,,,,,,,,,
13排,7,,,,,,,,,,,,
13排,8,,,,,,,,,,,,
13排,9,,,,,,,,,,,,
13排,10,,,,,,,,,,,,
13排,11,,,,,,,,,,,,
13排,12,,,,,,,,,,,,
13排,13,,,,,,,,,,,,
13排,14,,,,,,,,,,,,
13排,15,,,,,,,,,,,,
13排,16,,,,,,,,,,,,
13排,17,,,,,,,,,,,,
13排,18,,,,,,,,,,,,
13排,19,,,,,,,,,,,,
13排,20,,,,,,,,,,,,
13排,21,,,,,,,,,,,,
13排,22,,,,,,,,,,,,
13排,23,,,,,,,,,,,,
13排,24,,,,,,,,,,,,
13排,25,,,,,,,,,,,,
13排,26,,,,,,,,,,,,
13排,27,,,,,,,,,,,,
13排,28,,,,,,,,,,,,
13排,29,,,,,,,,,,,,
13排,30,,,,,,,,,,,,
13排,31,,,,,,,,,,,,
13排,32,,,,,,,,,,,,
13排,33,,,,,,,,,,,,
13排,34,,,,,,,,,,,,
13排,35,,,,,,,,,,,,
13排,36,,,,,,,,,,,,
13排,37,,,,,,,,,,,,
13排,38,,,,,,,,,,,,
13排,39,,,,,,,,,,,,
13排,40,,,,,,,,,,,,
13排,41,,,,,,,,,,,,
13排,42,,,,,,,,,,,,
13排,43,,,,,,,,,,,,
13排,44,,,,,,,,,,,,
13排,45,,,,,,,,,,,,
13排,46,,,,,,,,,,,,
13排,47,,,,,,,,,,,,
十四排,1,,,,,,,,,,,,
十四排,2,,,,,,,,,,,,
十四排,3,,,,,,,,,,,,
十四排,4,,,,,,,,,,,,
十四排,5,,,,,,,,,,,,
十四排,6,,,,,,,,,,,,
十四排,7,,,,,,,,,,,,
十四排,8,,,,,,,,,,,,
十四排,9,,,,,,,,,,,,
十四排,10,,,,,,,,,,,,
